event_name,genre,segment,address,city,localdate,localtime,url
Bilinmeyen Bir Kadının Mektubu,Theatre,Arts & Theatre,"Yunuskent Mahallesi, A. Türkeş Bulvarı, No:2, D: A",Karaman,2024-02-20,20:00:00,https://www.biletix.com/performance/3ZV45/001/TURKIYE/tr
Frida,Theatre,Arts & Theatre,"Yeşiltepe, Mithatpaşa Cd. No:110, 35260",İzmir,2024-02-19,20:00:00,https://www.biletix.com/performance/3ZV31/001/TURKIYE/tr
Bilinmeyen Bir Kadının Mektubu,Theatre,Arts & Theatre,"Muratpaşa, Evliya Çelebi Cd., 07010",Antalya,2024-02-19,20:00:00,https://www.biletix.com/performance/3ZV32/001/TURKIYE/tr
Piraye,Theatre,Arts & Theatre,Caferağa Mah. Moda Cad. Nail Bey Sok.,İstanbul,2024-02-20,20:30:00,https://www.biletix.com/performance/3ZV10/001/TURKIYE/tr
Nev,Pop,Music,,Antalya,2024-02-20,21:30:00,https://www.biletix.com/performance/3HO18/001/TURKIYE/tr
Komedyen Kadınlar,Theatre,Arts & Theatre,Ergazi Mh Batı Blv Nevadium Konutları Altı,Ankara,2024-02-20,20:00:00,https://www.biletix.com/performance/3KY92/004/TURKIYE/tr
Frida Kahlo,Theatre,Arts & Theatre,"Mecidiyeköy, Mecidiyeköy Yolu Cd. No:12, 34400",İstanbul,2024-02-20,20:30:00,https://www.biletix.com/performance/3AY17/001/TURKIYE/tr
İhtiyar Adam ve Deniz,Theatre,Arts & Theatre,Güneş Sok. No: 21,Ankara,2024-02-19,20:30:00,https://www.biletix.com/performance/36S42/001/TURKIYE/tr
Sefa Doğanay Show,Comedy,Arts & Theatre,,Şanlıurfa,2024-02-20,20:30:00,https://www.biletix.com/performance/3FU14/001/TURKIYE/tr
Fırat Tanış ile Gelin Tanış Olalım,Theatre,Arts & Theatre,"Ahmet Remzi Yüreğir, Mahallesi, Erdal Acet Cd. No:1, 01130 Seyhan",Adana,2024-02-19,20:00:00,https://www.biletix.com/performance/3FP17/001/TURKIYE/tr
Shirley,Theatre,Arts & Theatre,"Mecidiyeköy, Mecidiyeköy Yolu Cd. No:12, 34400",İstanbul,2024-02-20,20:30:00,https://www.biletix.com/performance/3FP20/001/TURKIYE/tr
Kadın Hikayeleri,Theatre,Arts & Theatre,Mithatpaşa Cad. No:447 Şehitlik Kavşağı,İzmir,2024-02-20,20:30:00,https://www.biletix.com/performance/3MK27/001/TURKIYE/tr
Kadın Hikayeleri,Theatre,Arts & Theatre,"Yunusemre, 43020",Kütahya,2024-02-19,20:30:00,https://www.biletix.com/performance/3MK26/001/TURKIYE/tr
Sevcan Orhan,Folk,Music,,İstanbul,2024-02-20,22:00:00,https://www.biletix.com/performance/3DX28/001/TURKIYE/tr
HEDx Bir Haşarı Hikayesi Yosi Mizrahi,Theatre,Arts & Theatre,Bağdat Cad. Haldun Taner Sok. No:11,İstanbul,2024-02-19,20:30:00,https://www.biletix.com/performance/3IR10/001/TURKIYE/tr
Tatlı Kaçık,Theatre,Arts & Theatre,İvedik Caddesi Yenimahalle Belediyesi yanı Yenimahalle /Ankara,Ankara,2024-02-20,20:00:00,https://www.biletix.com/performance/3US10/001/TURKIYE/tr
Cumhuriyete Doğru,Theatre,Arts & Theatre,Merinos Parkı,Bursa,2024-02-20,20:00:00,https://www.biletix.com/performance/3VS16/001/TURKIYE/tr
Todes Dans İmparatorluğu,Dance,Arts & Theatre,Söğütözü Cad. No:1/A,Ankara,2024-02-20,20:00:00,https://www.biletix.com/performance/3PN13/001/TURKIYE/tr
Yaşar Ne Yaşar Ne Yaşamaz,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.İST MARİNA AVM Kasaba Evleri meydanı No 147/6 155,İstanbul,2024-02-20,20:30:00,https://www.biletix.com/performance/3PJ17/003/TURKIYE/tr
Anıl Emre Daldal,Alternative,Music,,Aydın,2024-02-20,21:00:00,https://www.biletix.com/performance/3OO37/001/TURKIYE/tr
