event_name,genre,segment,address,city,localdate,localtime,url
Rafet El Roman,World,Music,"Fenerbahçe, Kalamýþ yat limaný içi, Münir Nurettin Selçuk Cd. 13/ 1",Ýstanbul,2024-02-23,22:30:00,https://www.biletix.com/performance/3ET63/001/TURKIYE/tr
Merve Özbey,Pop,Music,Aytar Cd. No:27 Etiler,Ýstanbul,2024-02-23,22:00:00,https://www.biletix.com/performance/3ET68/001/TURKIYE/tr
Fatih Ürek,Pop,Music,Kenedy Caddesi Sahilyolu Ataköy Marina,Ýstanbul,2024-02-23,20:00:00,https://www.biletix.com/performance/3ET15/001/TURKIYE/tr
Mahsun Kýrmýzýgül,Folk,Music,"19 Mayýs, Beytem Plaza, Büyükdere Cd. D:20/A",Ýstanbul,2024-02-23,20:00:00,https://www.biletix.com/performance/3ET54/001/TURKIYE/tr
Þifa Niyetine,Theatre,Arts & Theatre,,Ýstanbul,2024-02-23,20:30:00,https://www.biletix.com/performance/3H094/001/TURKIYE/tr
Yaþar,Pop,Music,"Kordonboyu Mahallesi, Ankara Cd. No:145, 34860",Ýstanbul,2024-02-23,21:00:00,https://www.biletix.com/performance/34T17/001/TURKIYE/tr
Dönme Dolap,Theatre,Arts & Theatre,,Ýstanbul,2024-02-23,20:00:00,https://www.biletix.com/performance/3DU12/001/TURKIYE/tr
Ayçin Asan,Pop,Music,,Ýstanbul,2024-02-23,22:00:00,https://www.biletix.com/performance/3PP16/001/TURKIYE/tr
Todes Dans Ýmparatorluðu,Dance,Arts & Theatre,Büyükdere Cad. Derbent Mevkii 34457,Ýstanbul,2024-02-23,21:00:00,https://www.biletix.com/performance/3PN16/001/TURKIYE/tr
Todes Dans Ýmparatorluðu,Dance,Arts & Theatre,Mehmet Þevki Paþa Cad. Lunapark Yaný,Ýstanbul,2024-02-22,21:00:00,https://www.biletix.com/performance/3PN15/001/TURKIYE/tr
Bir Delinin Hatýra Defteri,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.ÝST MARÝNA AVM Kasaba Evleri meydaný No 147/6 155,Ýstanbul,2024-02-23,18:00:00,https://www.biletix.com/performance/3PJ18/016/TURKIYE/tr
Bir Delinin Hatýra Defteri,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.ÝST MARÝNA AVM Kasaba Evleri meydaný No 147/6 155,Ýstanbul,2024-02-22,20:30:00,https://www.biletix.com/performance/3PJ18/008/TURKIYE/tr
Yaþar Ne Yaþar Ne Yaþamaz,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.ÝST MARÝNA AVM Kasaba Evleri meydaný No 147/6 155,Ýstanbul,2024-02-22,16:00:00,https://www.biletix.com/performance/3PJ17/008/TURKIYE/tr
Herkes Mi Aldatýr,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.ÝST MARÝNA AVM Kasaba Evleri meydaný No 147/6 155,Ýstanbul,2024-02-23,18:00:00,https://www.biletix.com/performance/3PJ20/004/TURKIYE/tr
Edepsiz Komedi,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.ÝST MARÝNA AVM Kasaba Evleri meydaný No 147/6 155,Ýstanbul,2024-02-23,23:59:00,https://www.biletix.com/performance/3PJ22/004/TURKIYE/tr
Tam 90dan Kabare,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.ÝST MARÝNA AVM Kasaba Evleri meydaný No 147/6 155,Ýstanbul,2024-02-23,20:30:00,https://www.biletix.com/performance/3PJ21/004/TURKIYE/tr
Hayatla Barýþ,Theatre,Arts & Theatre,,Ýstanbul,2024-02-23,17:30:00,https://www.biletix.com/performance/3OU35/002/TURKIYE/tr
Hayatla Barýþ,Theatre,Arts & Theatre,,Ýstanbul,2024-02-23,20:15:00,https://www.biletix.com/performance/3OU35/003/TURKIYE/tr
Hayatla Barýþ,Theatre,Arts & Theatre,,Ýstanbul,2024-02-23,15:00:00,https://www.biletix.com/performance/3OU35/001/TURKIYE/tr
Derya Bedavacý,Pop,Music,,Ýstanbul,2024-02-23,21:00:00,https://www.biletix.com/performance/3JW13/001/TURKIYE/tr
