event_name,genre,segment,address,city,event_date,event_time,url
Selami Þahin&Gülben Ergen,Folk,Music,"Ýncek, Turgut Özal Blv. NO: 34, 06830",Ankara,2024-02-16,22:30:00,https://www.biletix.com/performance/3ET50/001/TURKIYE/tr
Fahrenheit 451,Theatre,Arts & Theatre,Güneþ Sok. No: 21,Ankara,2024-02-15,20:30:00,https://www.biletix.com/performance/36S38/001/TURKIYE/tr
Nevzat Can Ünsal - Simülasyon Hatasý - Tek Kiþilik Stand Up Gösterisi,Comedy,Arts & Theatre,"Güvenevler, Cinnah Caddesi, Farabi Sk. 39/A, 06690",Ankara,2024-02-16,20:00:00,https://www.biletix.com/performance/3FM29/001/TURKIYE/tr
Güvercin 2'li Stand Up,Comedy,Arts & Theatre,"Güvenevler, Cinnah Caddesi, Farabi Sk. 39/A, 06690",Ankara,2024-02-16,21:30:00,https://www.biletix.com/performance/3FM34/001/TURKIYE/tr
Fýrat Tanýþ ile Gelin Tanýþ Olalým,Theatre,Arts & Theatre,"Emniyet, Gazeteci Yazar Muammer Yaþar Bostancý Sk., 06560",Ankara,2024-02-15,20:00:00,https://www.biletix.com/performance/3FP10/001/TURKIYE/tr
Nesilden Nesile Türküler,Folk,Music,"Urankent Giriþi, No: 50",Ankara,2024-02-15,20:00:00,https://www.biletix.com/performance/3MH11/001/TURKIYE/tr
Melike Þahin,World,Music,Söðütözü Cad. No:1/A,Ankara,2024-02-15,21:00:00,https://www.biletix.com/performance/3DS10/001/TURKIYE/tr
"Onur Özdemir ""Sakin Tribute""",Alternative,Music,Kýzýlýrmak Cad. No: 14,Ankara,2024-02-16,21:00:00,https://www.biletix.com/performance/3VV16/001/TURKIYE/tr
Ayberk Aþalý,Alternative,Music,,Ankara,2024-02-15,21:00:00,https://www.biletix.com/performance/3RX22/001/TURKIYE/tr
Etik Alkol,Theatre,Arts & Theatre,"Maltepe, Gazi Mustafa Kemal Blv. 65/A, 06670",Ankara,2024-02-16,20:00:00,https://www.biletix.com/performance/3CX35/001/TURKIYE/tr
Kim ? Haklý,Theatre,Arts & Theatre,Ývedik Caddesi Yenimahalle Belediyesi yaný Yenimahalle /Ankara,Ankara,2024-02-16,20:00:00,https://www.biletix.com/performance/3EAY2/001/TURKIYE/tr
Haybeden Gerçeküstü Aþk,Miscellaneous Theatre,Arts & Theatre,Ergazi Mh Batý Blv Nevadium Konutlarý Altý,Ankara,2024-02-16,20:00:00,https://www.biletix.com/performance/3KYBN/005/TURKIYE/tr
Bir Ýdam Mahkumunun Son Günü,Theatre,Arts & Theatre,Ergazi Mh Batý Blv Nevadium Konutlarý Altý,Ankara,2024-02-15,20:00:00,https://www.biletix.com/performance/3KYCT/003/TURKIYE/tr
Çýkýn Evimden,Theatre,Arts & Theatre,"Koru, 2432. Cd. No:192, 06810",Ankara,2024-02-15,20:00:00,https://www.biletix.com/performance/3AZ08/003/TURKIYE/tr
Nuri Harun Ateþ,,Music,Kennedy Cad. No: 4 Kavaklýdere,Ankara,2024-02-16,21:00:00,https://www.biletix.com/performance/3NKP3/001/TURKIYE/tr
Oktay Þenol Stand Up Dozu - Stand Up,Comedy,Arts & Theatre,,Ankara,2024-02-15,20:00:00,https://www.biletix.com/performance/32115/001/TURKIYE/tr
Rota,Hip-Hop/Rap,Music,Tunus Cad. No:14/A,Ankara,2024-02-15,21:00:00,https://www.biletix.com/performance/3E821/001/TURKIYE/tr
HiraiZerdüþ,Alternative,Music,"Urankent Giriþi, No: 50",Ankara,2024-02-15,20:30:00,https://www.biletix.com/performance/3MF11/001/TURKIYE/tr
Komedyen Kadýnlar,Theatre,Arts & Theatre,Ergazi Mh Batý Blv Nevadium Konutlarý Altý,Ankara,2024-02-17,20:00:00,https://www.biletix.com/performance/3KY92/003/TURKIYE/tr
Madrigal,Alternative,Music,Bahçelievler Mah. Azerbaycan Cad. No:41 Bahçelievler,Ankara,2024-02-17,21:30:00,https://www.biletix.com/performance/37R15/001/TURKIYE/tr
