event_name,genre,segment,address,city,event_date,event_time,url
Piraye,Theatre,Arts & Theatre,"Oran, Zülfü Tiðrel Cd. No:3, 06450",Ankara,2024-02-29,20:00:00,https://www.biletix.com/performance/3ZV36/001/TURKIYE/tr
Can Güngör,Rock,Music,"Kavaklýdere, Bestekar Caddesi No:38, Çankaya/Ankara, Türkiye, Çankaya",Ankara,2024-03-01,21:30:00,https://www.biletix.com/performance/3HM10/001/TURKIYE/tr
Eþeðin Gölgesinde,Theatre,Arts & Theatre,Bilkent Center,Ankara,2024-03-01,20:00:00,https://www.biletix.com/performance/3AS14/001/TURKIYE/tr
Küvetteki Gelinler,Theatre,Arts & Theatre,Güneþ Sok. No: 21,Ankara,2024-02-29,20:30:00,https://www.biletix.com/performance/36S46/001/TURKIYE/tr
Lafazans Late Night Stand Up Gecesi,Comedy,Arts & Theatre,"Kocatepe, Selanik Cd No:67/A, 06420 Çankaya",Ankara,2024-03-01,22:30:00,https://www.biletix.com/performance/3FS25/001/TURKIYE/tr
Necati ve Saykolar,Rock,Music,Bahçelievler Mah. Azerbaycan Cad. No:41 Bahçelievler,Ankara,2024-03-01,21:30:00,https://www.biletix.com/performance/37R50/001/TURKIYE/tr
Sincanlý Erkal ile Ankara Gecesi,Folk,Music,Kýzýlýrmak Cad. No: 14,Ankara,2024-03-01,21:00:00,https://www.biletix.com/performance/3VV32/001/TURKIYE/tr
Özgür Can Çoban,Folk,Music,Kýzýlýrmak Cad. No: 14,Ankara,2024-03-01,21:00:00,https://www.biletix.com/performance/3VV20/001/TURKIYE/tr
Saatleri Ayarlama Enstitüsü,Theatre,Arts & Theatre,Söðütözü Cad. No:1/A,Ankara,2024-03-01,20:00:00,https://www.biletix.com/performance/3PN22/001/TURKIYE/tr
Saatleri Ayarlama Enstitüsü,Theatre,Arts & Theatre,Söðütözü Cad. No:1/A,Ankara,2024-02-29,20:00:00,https://www.biletix.com/performance/3PN12/001/TURKIYE/tr
Fosforlu Cevriye,Theatre,Arts & Theatre,"Emniyet, Gazeteci Yazar Muammer Yaþar Bostancý Sk., 06560",Ankara,2024-03-01,20:00:00,https://www.biletix.com/performance/3RS43/001/TURKIYE/tr
7 Kocalý Hürmüz,Theatre,Arts & Theatre,Ývedik Caddesi Yenimahalle Belediyesi yaný Yenimahalle /Ankara,Ankara,2024-02-29,20:00:00,https://www.biletix.com/performance/3RS20/001/TURKIYE/tr
Selin Körükoðlu,Alternative,Music,,Ankara,2024-02-29,21:00:00,https://www.biletix.com/performance/3RX24/001/TURKIYE/tr
Kopil,Alternative,Music,,Ankara,2024-02-29,21:00:00,https://www.biletix.com/performance/3RX36/001/TURKIYE/tr
"Kamufle ""Tüm Suç Ritimlerin"" Albüm Lansman Konseri",Hip-Hop/Rap,Music,"Kavaklýdere, Bestekar Caddesi No:38, Çankaya/Ankara, Türkiye, Çankaya",Ankara,2024-03-01,21:30:00,https://www.biletix.com/performance/3HM03/001/TURKIYE/tr
Deniz Tekin - Yüzyýllardýr Ayný Dert - Ankara Albüm Lansman Konseri,Rock,Music,Tunus Cad. No:66 Kavaklýdere,Ankara,2024-02-29,22:00:00,https://www.biletix.com/performance/3HM01/001/TURKIYE/tr
Bir Ýdam Mahkumunun Son Günü,Theatre,Arts & Theatre,Ergazi Mh Batý Blv Nevadium Konutlarý Altý,Ankara,2024-02-29,20:00:00,https://www.biletix.com/performance/3KYCT/005/TURKIYE/tr
Çýkýn Evimden,Theatre,Arts & Theatre,"Koru, 2432. Cd. No:192, 06810",Ankara,2024-02-29,20:00:00,https://www.biletix.com/performance/3AZ08/005/TURKIYE/tr
Kaan Sekban Stand Up,Comedy,Arts & Theatre,"Emniyet, Gazeteci Yazar Muammer Yaþar Bostancý Sk., 06560",Ankara,2024-02-29,20:30:00,https://www.biletix.com/performance/3MV02/001/TURKIYE/tr
"Barok Konseri - Ayten Hanalioðlu, Hilal Tapan & Ayça Yýlmaz",,Music,"Nilgün Sokak, 14/2",Ankara,2024-03-01,20:00:00,https://www.biletix.com/performance/3IG07/001/TURKIYE/tr
