event_name,genre,segment,address,city,localdate,local_time,url
Merve Özbey,Pop,Music,Kenedy Caddesi Sahilyolu Ataköy Marina,İstanbul,2024-02-14,20:00:00,https://www.biletix.com/performance/3ET44/001/TURKIYE/tr
Ayta Sözeri - Sevgililer Günü Özel,Pop,Music,"Fenerbahçe, Kalamış yat limanı içi, Münir Nurettin Selçuk Cd. 13/ 1",İstanbul,2024-02-14,22:30:00,https://www.biletix.com/performance/3ET58/001/TURKIYE/tr
Serdar Ortaç,Pop,Music,Aytar Cd. No:27 Etiler,İstanbul,2024-02-14,23:00:00,https://www.biletix.com/performance/3ET39/001/TURKIYE/tr
SIR Aşkın Mucizesi,Theatre,Arts & Theatre,No address,İstanbul,2024-02-13,20:30:00,https://www.biletix.com/performance/3H073/001/TURKIYE/tr
Celile - Nazım Hikmet'in Annesi,Theatre,Arts & Theatre,"Ataköy 9.kısım, Atrium yanı",İstanbul,2024-02-13,20:30:00,https://www.biletix.com/performance/3AY12/001/TURKIYE/tr
Sena Şener,Alternative,Music,"Kordonboyu Mahallesi, Ankara Cd. No:145, 34860",İstanbul,2024-02-13,21:00:00,https://www.biletix.com/performance/34T24/001/TURKIYE/tr
Gökhan Türkmen,Pop,Music,"Kordonboyu Mahallesi, Ankara Cd. No:145, 34860",İstanbul,2024-02-14,21:00:00,https://www.biletix.com/performance/34T15/001/TURKIYE/tr
Ayna,Pop,Music,"Atakent Mah., Çiçekli Vadi Cad. No: 1",İstanbul,2024-02-14,22:00:00,https://www.biletix.com/performance/3IQ10/001/TURKIYE/tr
Hayrola Karyola,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.İST MARİNA AVM Kasaba Evleri meydanı No 147/6 155,İstanbul,2024-02-14,20:30:00,https://www.biletix.com/performance/3PJ19/001/TURKIYE/tr
Bir Delinin Hatıra Defteri,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.İST MARİNA AVM Kasaba Evleri meydanı No 147/6 155,İstanbul,2024-02-14,16:00:00,https://www.biletix.com/performance/3PJ18/002/TURKIYE/tr
Yaşar Ne Yaşar Ne Yaşamaz,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.İST MARİNA AVM Kasaba Evleri meydanı No 147/6 155,İstanbul,2024-02-13,20:30:00,https://www.biletix.com/performance/3PJ17/002/TURKIYE/tr
Tam 90dan Kabare,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.İST MARİNA AVM Kasaba Evleri meydanı No 147/6 155,İstanbul,2024-02-14,20:30:00,https://www.biletix.com/performance/3PJ21/010/TURKIYE/tr
Tam 90dan Kabare,Theatre,Arts & Theatre,Kordonboyu Mah. Ankara Cad.İST MARİNA AVM Kasaba Evleri meydanı No 147/6 155,İstanbul,2024-02-14,20:30:00,https://www.biletix.com/performance/3PJ21/009/TURKIYE/tr
