"event_name","genre","segment","address","city","localdate","local_time","url"
"Komedyen Kadınlar","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3KY92/002/TURKIYE/tr"
"Mehmet Erdem","Pop","Music","Urankent Girişi, No: 50","Ankara","2024-02-24","20:30:00","https://www.biletix.com/performance/3KY00/001/TURKIYE/tr"
"Salih Tıraş Yöresel Tatlar Stand Up","Comedy","Arts & Theatre","Ömeroğlu, Şht. Yzb. Yusuf Ziya Ertem Cd. No:17, 06710","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM44/001/TURKIYE/tr"
"Mezat Şov","Comedy","Arts & Theatre","None","Ankara","2024-02-24","21:30:00","https://www.biletix.com/performance/3FM45/002/TURKIYE/tr"
"Deniz Alnıtemiz Tek Kişilik Stand Up","Comedy","Arts & Theatre","Güvenevler, Cinnah Caddesi, Farabi Sk. 39/A, 06690","Ankara","2024-02-24","19:00:00","https://www.biletix.com/performance/3FM41/001/TURKIYE/tr"
"Furkan Güner - Tek Kişilik Stand Up","Comedy","Arts & Theatre","Güvenevler, Cinnah Caddesi, Farabi Sk. 39/A, 06690","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3FM37/001/TURKIYE/tr"
"Lafazans Stand Up Gecesi (late night)","Comedy","Arts & Theatre","Kocatepe, Selanik Cd No:67/A, 06420 Çankaya","Ankara","2024-02-23","22:30:00","https://www.biletix.com/performance/3FS14/003/TURKIYE/tr"
"Walkman 90'lar Türkçe Pop Gecesi","Pop","Music","Kızılırmak Cad. No: 14","Ankara","2024-02-24","21:00:00","https://www.biletix.com/performance/3VV10/001/TURKIYE/tr"
"7 Kocalı Hürmüz","Theatre","Arts & Theatre","Urankent Girişi, No: 50","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3RS23/001/TURKIYE/tr"
"7 Kocalı Hürmüz","Theatre","Arts & Theatre","Maltepe Mahallesi, Müjde Sk. No:14, 06570","Ankara","2024-02-24","20:00:00","https://www.biletix.com/performance/3RS37/001/TURKIYE/tr"
"Boşanma Teklifi","Theatre","Arts & Theatre","İvedik Caddesi Yenimahalle Belediyesi yanı Yenimahalle /Ankara","Ankara","2024-02-24","20:30:00","https://www.biletix.com/performance/3CX31/001/TURKIYE/tr"
"Boşanma Teklifi","Theatre","Arts & Theatre","Maltepe, Gazi Mustafa Kemal Blv. 65/A, 06670","Ankara","2024-02-23","20:00:00","https://www.biletix.com/performance/3CX38/001/TURKIYE/tr"
"Piyano & Şan Konseri","Classical","Music","Hamam Arkası Sakarya Mah. Basamaklı Sok. No:3","Ankara","2024-02-24","18:00:00","https://www.biletix.com/performance/3ZEAL/001/TURKIYE/tr"
"Vedat Özdemiroğlu - Murat Meriç Stand Up","Comedy","Arts & Theatre","Yeni Batı Mah Şehit Kaymakam Muhammet Fatih Safitürk Bulvarı 58/AE, 06210 Yenimahalle/Ankara","Ankara","2024-02-24","20:30:00","https://www.biletix.com/performance/3ZU06/001/TURKIYE/tr"
"Yangın","Alternative","Music","Kavaklıdere, Bestekar Caddesi No:38, Çankaya/Ankara, Türkiye, Çankaya","Ankara","2024-02-24","21:30:00","https://www.biletix.com/performance/3HM07/001/TURKIYE/tr"
"Haybeden Gerçeküstü Aşk","Theatre","Arts & Theatre","Ergazi Mh Batı Blv Nevadium Konutları Altı","Ankara","2024-02-24","20:00:00","https://www.biletix.com/performance/3KYE4/001/TURKIYE/tr"
"Tolga Çandar - Maksat Muhabbet","Folk","Music","Urankent Girişi, No: 50","Ankara","2024-02-24","20:00:00","https://www.biletix.com/performance/3KYAN/001/TURKIYE/tr"
"Berna Tuğçe Çil - Dirty Talk Show","Comedy","Arts & Theatre","Oran Mah, Panora Alışveriş Ve Yaşam Merkezi 182, Turan Güneş Blv., 06450","Ankara","2024-02-23","20:30:00","https://www.biletix.com/performance/3AZ01/001/TURKIYE/tr"
"Çıkın Evimden","Theatre","Arts & Theatre","Oran Mah, Panora Alışveriş Ve Yaşam Merkezi 182, Turan Güneş Blv., 06450","Ankara","2024-02-24","20:00:00","https://www.biletix.com/performance/3AZ05/004/TURKIYE/tr"
"HECCAV yahut Şair Eşref'in Esrareng","Theatre","Arts & Theatre","Bilkent Center","Ankara","2024-02-24","20:00:00","https://www.biletix.com/performance/3AS04/001/TURKIYE/tr"
